Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
11-F5/5,1,35.678,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F5/5,3,33.556,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F5/5,5,32.063,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F5/5,7,29.312,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F7/3,1,36.228,8.0,4.0,-1.0,-1.0,10.11,7.0,3.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F7/3,3,32.849,8.0,4.0,-1.0,-1.0,10.11,7.0,3.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F7/3,5,31.12,8.0,4.0,-1.0,-1.0,10.11,7.0,3.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F7/3,7,28.291,8.0,4.0,-1.0,-1.0,10.11,7.0,3.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F9/1,1,36.464,8.0,4.0,-1.0,-1.0,10.11,9.0,1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F9/1,3,32.77,8.0,4.0,-1.0,-1.0,10.11,9.0,1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F9/1,5,30.491,8.0,4.0,-1.0,-1.0,10.11,9.0,1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F9/1,7,28.841,8.0,4.0,-1.0,-1.0,10.11,9.0,1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Direct,1,0.034,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Direct,3,0.027,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Direct,5,0.02,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Direct,7,0.014,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern C Culture,1,0.034,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern C Culture,3,0.027,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern C Culture,5,0.019,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern C Culture,7,0.014,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern A,1,0.034,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern A,3,0.032,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern A,5,0.028,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern A,7,0.024,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern B,1,0.044,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern B,3,0.042,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-Pattern B,5,0.036,8.13,0.1,0.3,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
